url,path,content_type,section,indexability,lastmod,priority,image_count,recommended_action,preservation_notes
https://www.visitbondibeach.com/bondi-blog/2024/1/19/bondis-best-coffee-shops,/bondi-blog/2024/1/19/bondis-best-coffee-shops,blog-post-dated,blog,indexable,2025-05-22,0.5,2,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/5/23/rain-or-shine-7-must-do-indoor-activities-in-bondi-beach-on-a-rainy-day,/bondi-blog/2025/5/23/rain-or-shine-7-must-do-indoor-activities-in-bondi-beach-on-a-rainy-day,blog-post-dated,blog,indexable,2025-05-22,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/5/6/kids-eat-free-in-sydneys-eastern-suburbs-12-family-friendly-dining-deals,/bondi-blog/2025/5/6/kids-eat-free-in-sydneys-eastern-suburbs-12-family-friendly-dining-deals,blog-post-dated,blog,indexable,2025-05-06,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/5/6/10-things-you-need-to-know-before-running-the-city2surf,/bondi-blog/2025/5/6/10-things-you-need-to-know-before-running-the-city2surf,blog-post-dated,blog,indexable,2025-05-05,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/30/bondi-icebergs-ocean-pool-faq-20-essential-questions-answered-hours-fees-membership-more,/bondi-blog/2025/4/30/bondi-icebergs-ocean-pool-faq-20-essential-questions-answered-hours-fees-membership-more,blog-post-dated,blog,indexable,2025-04-30,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/30/ultimate-bondi-beach-travel-guide-how-to-get-there-when-to-visit-top-things-to-do,/bondi-blog/2025/4/30/ultimate-bondi-beach-travel-guide-how-to-get-there-when-to-visit-top-things-to-do,blog-post-dated,blog,indexable,2025-04-30,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/29/ultimate-wet-weather-guide-to-bondi-rainy-day-activities-tips,/bondi-blog/2025/4/29/ultimate-wet-weather-guide-to-bondi-rainy-day-activities-tips,blog-post-dated,blog,indexable,2025-04-29,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/29/can-kids-swim-at-bondi-icebergs-family-swimming-guide,/bondi-blog/2025/4/29/can-kids-swim-at-bondi-icebergs-family-swimming-guide,blog-post-dated,blog,indexable,2025-04-29,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/29/behind-the-scenes-at-bondi-rescue-20-things-you-may-not-know-about-the-show,/bondi-blog/2025/4/29/behind-the-scenes-at-bondi-rescue-20-things-you-may-not-know-about-the-show,blog-post-dated,blog,indexable,2025-04-29,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/27/top-10-bondi-cafs-in-2025-best-coffee-brunch-by-the-beach,/bondi-blog/2025/4/27/top-10-bondi-cafs-in-2025-best-coffee-brunch-by-the-beach,blog-post-dated,blog,indexable,2025-04-27,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/27/how-to-score-a-booking-at-tottis-bondi-without-the-stress,/bondi-blog/2025/4/27/how-to-score-a-booking-at-tottis-bondi-without-the-stress,blog-post-dated,blog,indexable,2025-04-27,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/27/whale-watching-season-at-bondi-2025-everything-you-need-to-know,/bondi-blog/2025/4/27/whale-watching-season-at-bondi-2025-everything-you-need-to-know,blog-post-dated,blog,indexable,2025-04-27,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/25/10-must-try-bondi-beach-bars-backed-in-2025,/bondi-blog/2025/4/25/10-must-try-bondi-beach-bars-backed-in-2025,blog-post-dated,blog,indexable,2025-04-25,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/25/must-experience-bondi-restaurants-our-top-10-best-restaurants-ranked,/bondi-blog/2025/4/25/must-experience-bondi-restaurants-our-top-10-best-restaurants-ranked,blog-post-dated,blog,indexable,2025-04-25,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/25/ultimate-bondi-beach-parking-guide-free-and-paid-options-for-busy-days,/bondi-blog/2025/4/25/ultimate-bondi-beach-parking-guide-free-and-paid-options-for-busy-days,blog-post-dated,blog,indexable,2025-10-18,0.5,1,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/25/9-unique-bondi-beach-experiences-to-try-beyond-the-sand-and-surf,/bondi-blog/2025/4/25/9-unique-bondi-beach-experiences-to-try-beyond-the-sand-and-surf,blog-post-dated,blog,indexable,2025-04-25,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/23/8-things-to-know-before-visiting-bondi-beach,/bondi-blog/2025/4/23/8-things-to-know-before-visiting-bondi-beach,blog-post-dated,blog,indexable,2025-04-23,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/15/your-complete-guide-to-christmas-day-at-bronte-beach-sydney-december-25-2025,/bondi-blog/2025/4/15/your-complete-guide-to-christmas-day-at-bronte-beach-sydney-december-25-2025,blog-post-dated,blog,indexable,2025-04-15,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/4/2/bondi-icebergs-closed-due-to-destructive-waves,/bondi-blog/2025/4/2/bondi-icebergs-closed-due-to-destructive-waves,blog-post-dated,blog,indexable,2025-04-02,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2023/4/1/l0k8f8ky8s4yf6dxrl7mo9r4s25vx7,/bondi-blog/2023/4/1/l0k8f8ky8s4yf6dxrl7mo9r4s25vx7,blog-post-dated,blog,indexable,2025-03-26,0.5,0,Requires manual review (auto-generated slug),
https://www.visitbondibeach.com/bondi-blog/2024/4/1/city2surf-course-map,/bondi-blog/2024/4/1/city2surf-course-map,blog-post-dated,blog,indexable,2025-03-26,0.5,1,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/where-to-go-afterparty-city-to-surf,/bondi-blog/where-to-go-afterparty-city-to-surf,blog-post-legacy,blog,indexable,2025-07-31,0.5,1,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/ultimate-guide-city-to-surf,/bondi-blog/ultimate-guide-city-to-surf,blog-post-legacy,blog,indexable,2025-03-26,0.5,2,Keep unchanged,
