observed_date,site_name,site_id,pollution_forecast,forecast_issued_at,latest_result,latest_result_rating,latest_sample_date,source_url,fetched_at
2026-09-04,Bronte Beach,e34aa8b8-142f-438d-ab18-bedce361e324,Unlikely,2026-09-04T03:30:00.3633333+00:00,Good,4,2026-09-01T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-04T11:13:26.295Z
2026-09-04,Clovelly Beach,06e4aa12-a704-440e-a31c-ce25fcd0057f,Unlikely,2026-09-04T03:30:00.3633333+00:00,Good,4,2026-09-01T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-04T11:13:26.295Z
2026-09-04,Gordons Bay (East),042af9fb-da1d-406a-a743-3da81da0a194,Unlikely,2026-09-04T03:30:00.3633333+00:00,Good,4,2026-09-01T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-04T11:13:26.295Z
2026-09-04,Coogee Beach,ca53919d-8e26-40b0-b8cc-edf80ec303d9,Unlikely,2026-09-04T03:30:00.3633333+00:00,Good,4,2026-09-01T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-04T11:13:26.295Z
2026-09-05,Bondi Beach,405ce99c-7a0b-43f7-8d28-2ee0b65eebb5,Unlikely,2026-09-05T03:30:00.4833333+00:00,Good,4,2026-09-01T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-05T10:30:57.382Z
2026-09-05,Tamarama Beach,d8174dde-e864-4a58-b997-e140bea7c5d6,Unlikely,2026-09-05T03:30:00.4833333+00:00,Good,4,2026-09-01T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-05T10:30:57.382Z
2026-09-05,Bronte Beach,e34aa8b8-142f-438d-ab18-bedce361e324,Unlikely,2026-09-05T03:30:00.4833333+00:00,Good,4,2026-09-01T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-05T10:30:57.382Z
2026-09-05,Clovelly Beach,06e4aa12-a704-440e-a31c-ce25fcd0057f,Unlikely,2026-09-05T03:30:00.4833333+00:00,Good,4,2026-09-01T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-05T10:30:57.382Z
2026-09-05,Gordons Bay (East),042af9fb-da1d-406a-a743-3da81da0a194,Unlikely,2026-09-05T03:30:00.4833333+00:00,Good,4,2026-09-01T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-05T10:30:57.382Z
2026-09-05,Coogee Beach,ca53919d-8e26-40b0-b8cc-edf80ec303d9,Unlikely,2026-09-05T03:30:00.4833333+00:00,Good,4,2026-09-01T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-05T10:30:57.382Z
