path,contentType,section,indexable,status,wordCount,ytdPageviews,impressions,clicks,jsonLdTypes,title
/bondi-blog,blog-index,blog,no,200,645,0,1,0,WebSite,Bondi Beach Local's Guide — Visit Bondi Beach
/bondi-blog/2025/5/23/rain-or-shine-7-must-do-indoor-activities-in-bondi-beach-on-a-rainy-day,blog-post-dated,blog,yes,200,784,90,0,0,WebSite|Article,Rain or Shine: 7 Must-Do Indoor Activities in Bondi Beach on a Rainy Day — Visit Bondi Beach
/bondi-blog/2025/5/6/kids-eat-free-in-sydneys-eastern-suburbs-12-family-friendly-dining-deals,blog-post-dated,blog,yes,200,428,257,5,1,WebSite|Article,Kids Eat Free: 12 Eastern Suburbs Deals
/bondi-blog/2025/5/6/10-things-you-need-to-know-before-running-the-city2surf,blog-post-dated,blog,yes,200,971,0,62,1,WebSite|Article,10 Things You Need to Know Before Running the City2Surf — Visit Bondi Beach
/bondi-blog/2025/4/30/bondi-icebergs-ocean-pool-faq-20-essential-questions-answered-hours-fees-membership-more,blog-post-dated,blog,yes,200,563,841,25,0,WebSite|Article,Bondi Icebergs FAQ: 20 Questions Answered
/bondi-blog/2025/4/30/ultimate-bondi-beach-travel-guide-how-to-get-there-when-to-visit-top-things-to-do,blog-post-dated,blog,yes,200,662,0,0,0,WebSite|Article,"Ultimate Bondi Beach Travel Guide: How to Get There, When to Visit & Top Things to Do — Visit Bondi Beach"
/bondi-blog/2025/4/29/ultimate-wet-weather-guide-to-bondi-rainy-day-activities-tips,blog-post-dated,blog,no,200,680,0,0,0,WebSite|Article,Ultimate Wet Weather Guide to Bondi. Rainy Day Activities & Tips — Visit Bondi Beach
/bondi-blog/2025/4/29/can-kids-swim-at-bondi-icebergs-family-swimming-guide,blog-post-dated,blog,yes,200,421,0,6,1,WebSite|Article,Can Kids Swim at Bondi Icebergs? Family Swimming Guide — Visit Bondi Beach
/bondi-blog/2025/4/29/behind-the-scenes-at-bondi-rescue-20-things-you-may-not-know-about-the-show,blog-post-dated,blog,no,200,442,0,1,0,WebSite|Article,Bondi Rescue: 20 Behind-the-Scenes Facts
/bondi-blog/2025/4/27/top-10-bondi-cafs-in-2025-best-coffee-brunch-by-the-beach,blog-post-dated,blog,yes,200,776,142,2,0,WebSite|Article,The Best Cafés in Bondi Beach (2026): Coffee & Brunch by the Sand
/bondi-blog/2025/4/27/how-to-score-a-booking-at-tottis-bondi-without-the-stress,blog-post-dated,blog,yes,200,448,0,21,0,WebSite|Article,How to Get a Booking at Totti's Bondi
/bondi-blog/2025/4/27/whale-watching-season-at-bondi-2025-everything-you-need-to-know,blog-post-dated,blog,yes,200,412,0,3,0,WebSite|Article,Whale Watching Season At Bondi 2025: Everything You Need To Know — Visit Bondi Beach
/bondi-blog/2025/4/25/10-must-try-bondi-beach-bars-backed-in-2025,blog-post-dated,blog,yes,200,980,120,5,0,WebSite|Article,10 Must-Try Bondi Beach Bars
/bondi-blog/2025/4/25/must-experience-bondi-restaurants-our-top-10-best-restaurants-ranked,blog-post-dated,blog,no,200,1118,134,0,0,WebSite|Article,The Best Restaurants in Bondi Beach (2026): Where I’d Book
/bondi-blog/2025/4/25/ultimate-bondi-beach-parking-guide-free-and-paid-options-for-busy-days,blog-post-dated,blog,yes,200,548,415,15,0,WebSite|Article,"Bondi Beach Parking: Every Car Park, Prices & Free Options"
/bondi-blog/2025/4/25/9-unique-bondi-beach-experiences-to-try-beyond-the-sand-and-surf,blog-post-dated,blog,yes,200,498,0,0,0,WebSite|Article,9 Unique Bondi Beach Experiences to Try Beyond the Sand and Surf — Visit Bondi Beach
/bondi-blog/2025/4/23/8-things-to-know-before-visiting-bondi-beach,blog-post-dated,blog,yes,200,421,0,0,0,WebSite|Article,8 Things to Know Before Visiting Bondi Beach — Visit Bondi Beach
/bondi-blog/2025/4/15/your-complete-guide-to-christmas-day-at-bronte-beach-sydney-december-25-2025,blog-post-dated,blog,yes,200,525,0,0,0,WebSite|Article,"Your Complete Guide to Christmas Day at Bronte Beach, Sydney – December 25, 2025 — Visit Bondi Beach"
/bondi-blog/2025/4/2/bondi-icebergs-closed-due-to-destructive-waves,blog-post-dated,blog,yes,200,195,0,1,0,WebSite|Article,Bondi Icebergs Closed Until April 18 (2025) — Visit Bondi Beach
/bondi-blog/2023/4/1/l0k8f8ky8s4yf6dxrl7mo9r4s25vx7,blog-post-dated,blog,yes,200,291,0,6,0,WebSite|Article,What is the difference between Bondi Beach and Bondi Junction? A guide. — Visit Bondi Beach
/bondi-blog/2024/4/1/city2surf-course-map,blog-post-dated,blog,yes,200,55,300,135,5,WebSite|Article,City2Surf Course Map & Route Guide
/bondi-blog/where-to-go-afterparty-city-to-surf,blog-post-legacy,blog,yes,200,578,278,129,4,WebSite|Article,The Ultimate City2Surf Afterparty Guide
/bondi-blog/ultimate-guide-city-to-surf,blog-post-legacy,blog,yes,200,1531,451,451,9,WebSite|Article,City2Surf: The Ultimate Runner's Guide
/bondi-blog/2025/3/21/bondi-beach-new-years-eve-festival-returns-council-approves-iconic-celebrations-revival,blog-post-dated,blog,yes,200,578,0,0,0,WebSite|Article,Bondi Beach New Year’s Eve Festival Returns: Council Approves Iconic Celebration’s Revival — Visit Bondi Beach
/bondi-blog/2025/3/8/best-time-to-visit-bondi-beach-seasonal-guide-to-weather-events,blog-post-dated,blog,no,200,547,0,4,0,WebSite|Article,Best Time to Visit Bondi Beach: Seasonal Guide to Weather & Events — Visit Bondi Beach
/bondi-blog/2025/3/8/the-ultimate-bondi-beach-travel-guide-must-see-spots-hidden-gems,blog-post-dated,blog,yes,200,446,0,3,0,WebSite|Article,The Ultimate Bondi Beach Travel Guide: Must-See Spots & Hidden Gems — Visit Bondi Beach
/bondi-blog/2024/12/26/australias-best-christmas-party-at-sydneys-bronte-beach,blog-post-dated,blog,yes,200,864,0,0,0,WebSite|Article,Australia’s Best Christmas Party At Sydney’s Bronte Beach — Visit Bondi Beach
/bondi-blog/2025/1/20/does-bondi-beach-ever-close,blog-post-dated,blog,yes,200,302,0,0,0,WebSite|Article,Does Bondi Beach ever close? — Visit Bondi Beach
/bondi-blog/2025/1/20/locals-guide-to-free-bbq-spots-at-bondi-bronte-tamarama,blog-post-dated,blog,yes,200,494,129,9,0,WebSite|Article,"Free BBQ Spots at Bondi, Bronte & Tamarama"
/bondi-blog/2025/1/5/the-best-places-to-sit-on-bondi-beach-a-complete-guide,blog-post-dated,blog,yes,200,671,0,0,0,WebSite|Article,The Best Places to Sit on Bondi Beach: A Complete Guide — Visit Bondi Beach
/bondi-blog/2025/1/5/who-can-swim-at-bondi-icebergs-ocean-pool,blog-post-dated,blog,yes,200,520,0,2,0,WebSite|Article,Who Can Swim at Bondi Icebergs Ocean Pool? — Visit Bondi Beach
/bondi-blog/2025/1/12/the-20-most-dramatic-moments-on-bondi-rescue,blog-post-dated,blog,yes,200,886,247,11,1,WebSite|Article,The 20 Most Dramatic Bondi Rescue Moments
/bondi-blog/2025/1/10/the-best-places-to-snorkel-in-and-around-bondi,blog-post-dated,blog,yes,200,1155,0,2,0,WebSite|Article,The Best Places to Snorkel In and Around Bondi — Visit Bondi Beach
/bondi-blog/2025/1/5/understanding-bondi-beach-safety-signs,blog-post-dated,blog,yes,200,238,0,1,0,WebSite|Article,Understanding Bondi Beach Safety Signs — Visit Bondi Beach
/bondi-blog/2025/1/7/top-things-to-do-in-bondi-for-kids-during-school-holidays,blog-post-dated,blog,yes,200,849,0,0,0,WebSite|Article,Top Things to Do in Bondi for Kids During School Holidays — Visit Bondi Beach
/bondi-blog/2025/1/5/exploring-bondi-beach-a-guide-to-wheelchair-access,blog-post-dated,blog,yes,200,201,0,1,0,WebSite|Article,Bondi Beach Accessibility & Wheelchair Guide
/bondi-blog/2025/1/5/are-there-thieves-or-pickpockets-at-bondi-beach,blog-post-dated,blog,yes,200,952,0,10,0,WebSite|Article,Theft at Bondi Beach: Keeping Your Stuff Safe
/bondi-blog/2025/1/5/surf-lifesaving-patrol-hours-at-bondi-bronte-tamarama,blog-post-dated,blog,yes,200,480,0,1,0,WebSite|Article,"Surf Lifesaving Patrol Hours At Bondi, Bronte, Tamarama — Visit Bondi Beach"
/bondi-blog/2025/1/5/catch-the-waves-live-bondi-beach-surf-cam,blog-post-dated,blog,yes,200,171,144,15,0,WebSite|Article,Bondi Beach Surf Cam (Live)
/bondi-blog/2025/1/4/nielsen-park-your-guide-to-sydneys-beloved-coastal-escape,blog-post-dated,blog,yes,200,801,0,5,0,WebSite|Article,Nielsen Park: A Local's Guide
/bondi-blog/2025/1/2/how-far-is-bondi-beach-from-key-sydney-locations,blog-post-dated,blog,yes,200,308,0,20,0,WebSite|Article,How Far Is Bondi Beach From Key Sydney Spots?
/bondi-blog/2024/3/19/bondis-best-running-routes,blog-post-dated,blog,yes,200,465,461,8,0,WebSite|Article,Bondi's Best Running Routes
/bondi-blog/2025/1/1/top-50-activities-to-do-in-sydney-a-locals-guide,blog-post-dated,blog,yes,200,964,0,0,0,WebSite|Article,Top 50 Activities to Do in Sydney: A Local’s Guide — Visit Bondi Beach
/bondi-blog/2025/1/1/locals-guide-to-sydneys-20-best-hidden-beaches,blog-post-dated,blog,yes,200,797,0,3,0,WebSite|Article,Local’s Guide To Sydney’s 20 Best Hidden Beaches — Visit Bondi Beach
/bondi-blog/2023/12/13/celebrating-new-years-day-with-a-dutch-twist-at-bondi-beach,blog-post-dated,blog,yes,200,339,0,0,0,WebSite|Article,Celebrating New Year’s Day with a Dutch Twist at Bondi Beach   — Visit Bondi Beach
/bondi-blog/2024/12/26/can-you-jump-from-the-cliff-at-bronte-beach,blog-post-dated,blog,yes,200,97,0,0,0,WebSite|Article,Can You Jump from the Cliff at Bronte Beach? — Visit Bondi Beach
